"","baseMean","log2FoldChange","lfcSE","stat","pvalue","padj"
"BPB1_00492",466.049786340998,-11.7503368497131,0.837865208359075,-13.4273827549738,4.17922545195664e-41,2.77204321117124e-39
"BPB1_00495",458.899170832495,-11.7445665608387,0.837818196127812,-13.4212489210766,4.53997015523853e-41,2.97368045168124e-39
"BPB1_00506",365.046768657888,-11.4704081164119,0.839465249947941,-13.0683290548265,4.99506962664025e-39,3.11597200518987e-37
"BPB1_00503",332.711115687231,-11.431117610369,0.841928509658309,-12.9834273159432,1.51926893886409e-38,8.94490925803127e-37
"BPB1_00464",371.96079400914,-11.3275458537776,0.863295676010775,-12.542105972094,4.39167333952295e-36,2.30123682991003e-34
"BPB1_00508",1057.1462483262,-11.2453529768157,0.723824170837098,-14.8452530459003,7.46725093520058e-50,5.84005894036583e-48
"BPB1_00470",376.278639533658,-11.2367700130584,0.835997197973008,-12.8430693776141,9.40695162254488e-38,5.4167501650698e-36
"BPB1_00505",269.539201846022,-11.1094919619914,0.838375016617344,-12.6548283902809,1.05205207973388e-36,5.74245093521407e-35
"BPB1_00499",289.27963589682,-10.9959655771361,0.835994790076895,-12.5550609904766,3.72893817327047e-36,1.97370060888255e-34
"BPB1_00490",235.860701654681,-10.9362535785776,0.836444881645721,-12.4769172572903,9.97753319585236e-36,5.17646276695707e-34
"BPB1_00540",187.875763488668,-10.7046175773432,0.837961521864202,-12.1779071127767,4.07607536654141e-34,1.99613410473617e-32
"BPB1_00538",208.036210580465,-10.6901472870134,0.838608370635604,-12.1512587327146,5.64891241510052e-34,2.74076861621544e-32
"BPB1_00501",198.476613720047,-10.6366778746453,0.838512631670197,-12.0888791555286,1.20925168502301e-33,5.81328332983538e-32
"BPB1_00502",190.318367635192,-10.5290812003413,0.843640674017198,-11.8878587877768,1.36870586624967e-32,6.40358815995382e-31
"BPB1_00496",180.291780732936,-10.4109310571233,0.839979819802009,-11.799010908928,3.94926029205541e-32,1.81527402897985e-30
"BPB1_00511",145.846853091129,-10.3258375410559,0.84147415881261,-11.6769331989005,1.67220398615823e-31,7.42571939616028e-30
"BPB1_00541",116.14039181939,-10.1225294498988,0.840216003406052,-11.452447240818,2.28599156371552e-30,9.73869576737344e-29
"BPB1_00549",129.560243402423,-10.0992297935125,0.838669868461887,-11.4457787915016,2.46877377923748e-30,1.04325601638745e-28
"BPB1_00488",119.730386328514,-10.0427272098607,0.839329105824378,-11.3694701442386,5.93467459204802e-30,2.44863739073478e-28
"BPB1_00544",167.037969054329,-10.0217525761122,0.836395463427857,-11.3842709489224,5.00853656865409e-30,2.09957852957979e-28
"BPB1_04011",23566.4898197022,-9.91160618727743,0.258999432349585,-36.3383274700545,4.01746035060611e-289,2.1051492237176e-285
"BPB1_00539",139.369954440807,-9.80443286638942,0.839409916509732,-11.0844924313943,1.49194156358058e-28,5.74836308320753e-27
"BPB1_00543",117.66187357337,-9.79628743450749,0.839511570349321,-11.0734476603334,1.687797317353e-28,6.45551674666403e-27
"BPB1_00507",115.738556331138,-9.79127711972182,0.841976802810237,-11.0350749435265,2.5883563032036e-28,9.75754462502651e-27
"BPB1_00510",84.4010799716845,-9.62527328417348,0.838904422691407,-10.8776077910013,1.47380020587954e-27,5.40049865650966e-26
"BPB1_00466",91.6204819499826,-9.56683908888636,0.847275068271658,-10.7011753660847,1.00495303444528e-26,3.55807695979276e-25
"BPB1_00485",106.728421820641,-9.49372378949666,0.844153589736169,-10.6541320191596,1.66793287079284e-26,5.78805843904272e-25
"BPB1_00497",102.124004773705,-9.40143814907658,0.845043030867985,-10.5337099105278,6.04058266216806e-26,2.06880085946148e-24
"BPB1_00500",89.8632511109833,-9.32955821335432,0.840899512117459,-10.5001347796251,8.62568801039473e-26,2.91603904351409e-24
"BPB1_00547",70.5514970350375,-9.00798693464792,0.842338819327299,-10.1004331504542,5.49987229765365e-24,1.81253653079906e-22
"BPB1_00487",58.9854832089626,-8.94704710978805,0.843028756626521,-10.0198801563898,1.24654004577448e-23,4.05706201233435e-22
"BPB1_00479",73.2158625838904,-8.92786153547011,0.84330054877259,-9.99390021474161,1.62076286261524e-23,5.24246753092829e-22
"BPB1_00498",88.4452392241788,-8.86138452639932,0.840030159888617,-9.95367181519767,2.4304647982519e-23,7.81327333916561e-22
"BPB1_00494",81.2961472954314,-8.82189193387202,0.840271069686707,-9.90381822496259,4.00678906926927e-23,1.27245907411945e-21
"BPB1_00489",94.2796496929747,-8.81278676973037,0.859768202051653,-9.66863713951467,4.09798795006533e-22,1.26314452107896e-20
"BPB1_00483",87.5709765558153,-8.66817329177255,0.846005265570836,-9.65499107888073,4.68200026510031e-22,1.42637682494916e-20
"BPB1_00509",49.0712667963593,-8.63634664777066,0.845671379173961,-9.62116827900469,6.50876528580927e-22,1.97144104610639e-20
"BPB1_00471",48.0030657632997,-8.49060825842858,0.859557382034028,-9.29618944056983,1.45569351901439e-20,4.16821532220515e-19
"BPB1_00542",33.2709863772428,-8.47522260976575,0.840898201511624,-9.48417132469691,2.44316523868506e-21,7.31553477183413e-20
"BPB1_00518",37.9918807015188,-8.43096038856681,0.845997352983992,-9.37468700178885,6.93813174009586e-21,2.04246125382597e-19
"BPB1_00472",41.1139127141205,-8.40528897364324,0.851797802902929,-9.28071068826662,1.68351848005928e-20,4.76845234351926e-19
"BPB1_00484",44.595225059092,-8.36417326973329,0.856086091871437,-9.18619440778661,4.06985245254735e-20,1.13436313039086e-18
"BPB1_00482",46.7880833685551,-8.25598337848491,0.857164026672464,-9.04842379887764,1.45046843994483e-19,3.89766903862098e-18
"BPB1_00465",34.6361588365035,-8.22336883662077,0.843492440455863,-9.15641737399175,5.36488435507717e-20,1.47957863266339e-18
