"","baseMean","log2FoldChange","lfcSE","stat","pvalue","padj"
"BPB1_00862",1116.65378235907,-7.64417466822938,0.590427145429114,-12.1000105153314,1.05597648150571e-33,8.50612697117359e-32
"BPB1_03081",1252.36946926578,7.29496655495322,0.24271066080234,27.9961602530799,1.80942841279776e-172,6.51032342924633e-170
"BPB1_02549",31.0732924042209,-7.08153684173069,0.719763889582525,-9.14402200080931,6.01718343059793e-20,2.20916591666238e-18
"BPB1_00860",1378.66344333918,-6.9630008146614,0.602372903136863,-10.7292356296328,7.42074476635279e-27,4.38951415984396e-25
"BPB1_00861",195.040556669334,-6.93600494243379,0.690052701615352,-9.3268310193811,1.09083581084671e-20,4.1459442754505e-19
"BPB1_05049",2930.58676869922,6.84493641081354,0.180433273858884,35.1650018597784,6.85674316478533e-271,3.0838202383622e-268
"BPB1_01606",17307.2278719277,6.74411434538804,0.10143560045026,61.5574247864773,0,0
"BPB1_01605",4429.43739757021,6.61972117891946,0.128934245402324,47.4638926207974,0,0
"BPB1_01607",4870.83213161284,6.58287638230822,0.118877475140307,51.16929321664,0,0
"BPB1_05331",7551.60706190243,6.49975854612054,0.1492824393432,40.190651844368,0,0
"BPB1_02544",19.7309238868164,-6.27452620390469,0.72925961790574,-7.91834082420162,2.40700826617182e-15,6.62786919006596e-14
"BPB1_03740",19893.4188063736,6.25409593578753,0.0879123940303893,65.4526133573211,0,0
"BPB1_02545",62.1225785450532,-6.2379333073341,0.484058569012716,-11.8537996735336,2.05649977071627e-32,1.5632294735994e-30
"BPB1_02539",150.936009589374,-5.97982840563711,0.390798977345939,-14.0221155204977,1.14160170685137e-44,1.33939661127758e-42
"BPB1_00882",755.080988976057,-5.92360453796411,0.630357783762965,-8.60400978248817,7.69784162108975e-18,2.48773959455218e-16
"BPB1_02548",34.6496745410099,-5.82303582171527,0.529525341047097,-10.0524666320773,8.9596207878035e-24,4.24167310454171e-22
"BPB1_02541",82.5059621091727,-5.7746817917818,0.427277826179907,-12.3448526195246,5.1929246552282e-35,4.31172528681024e-33
"BPB1_02543",29.3604717870902,-5.65905112514516,0.543000934956392,-9.50099860428322,2.07887045161692e-21,8.13019117925833e-20
"BPB1_00864",908.147373649614,-5.63458014009304,0.563159190622927,-9.11745777319825,7.69071465920237e-20,2.80451263619697e-18
"BPB1_00847",326.297488756869,-5.56373249210172,0.529908586480953,-9.55586042817165,1.22561201692151e-21,4.86369709950398e-20
"BPB1_00818",726.195690728129,5.55602077669914,0.317148163494679,15.9421411146969,3.23091253969636e-57,5.2840105990125e-55
"BPB1_01601",494.801400841488,5.46414783925507,0.243592828458287,20.3788751527434,2.57504895122021e-92,5.79064132905644e-90
"BPB1_01604",1088.91622081772,5.39866464060915,0.185332733181123,26.4317293363486,5.91897731093278e-154,1.87910120865319e-151
"BPB1_00819",2224.67411117581,5.38289867904548,0.30613668825248,15.9500604351557,2.84621356216846e-57,4.80031706094474e-55
"BPB1_02537",43.5224987151722,-5.35321690531071,0.458752311116382,-10.5791661158073,3.72256468975728e-26,2.0500695541449e-24
"BPB1_00881",1152.60861225929,-5.31994650462083,0.60296739368995,-7.99371003318179,1.30937516896178e-15,3.64262772519935e-14
"BPB1_03030",2510.37386646816,-5.27547520326109,0.497869572807304,-9.59181975378399,8.65449116325761e-22,3.51190141414296e-20
"BPB1_02540",23.0836628797404,-5.27134000100675,0.533333061220647,-8.94626706637409,3.67706754760064e-19,1.29706755257521e-17
"BPB1_01223",299.163452439251,-5.22707198427424,0.640718746317582,-7.37776444257681,1.60969434052125e-13,3.66562040328827e-12
"BPB1_00880",37.1633218923307,-5.21510908504106,0.955271768707439,-4.93588237347471,7.97891880928485e-07,1.03514963494496e-05
"BPB1_02547",139.380541515098,-5.17339908387492,0.345852921919278,-13.5126777531337,1.31644569518638e-41,1.39310929743546e-39
"BPB1_01875",3448.63349430629,5.16248507406536,0.0964495347104471,48.3411878353036,0,0
"BPB1_00879",24.1273751589882,-5.11673957358435,1.07390981750176,-4.29900118086664,1.71569558599245e-05,0.000193311254229671
"BPB1_02185",1598.66620409221,-5.07756761902331,0.662769022380521,-6.90673140181129,4.95947667383485e-12,9.80450388596581e-11
"BPB1_02527",14.3305962513205,-5.07511048003469,0.650324386309352,-7.03512058958584,1.99088743890403e-12,4.08548270257227e-11
"BPB1_00820",12317.024101785,4.97273065293693,0.350185073348983,12.7724765940539,2.33601547985581e-37,2.1737026801348e-35
"BPB1_02528",8.76861333144944,-4.93498398949196,0.713995228692324,-6.21150367855342,5.24799622801034e-10,9.07802424441404e-09
"BPB1_05994",166.382880199287,-4.92536238586138,0.62742157520412,-7.05325184971791,1.74784078214075e-12,3.61421329548414e-11
"BPB1_02498",1306.95156356747,-4.9244226375829,0.575821099170574,-7.68367578742068,1.54587595818995e-14,3.93542101242979e-13
"BPB1_02546",93.9899761549652,-4.87199234011326,0.358775874596338,-12.1858593335804,3.69735354205234e-34,3.02342682825098e-32
"BPB1_04113",3175.6476249861,4.85418619408708,0.290464304973284,14.9904346920961,8.47964247180079e-51,1.23688190325159e-48
"BPB1_00883",279.929230500746,-4.83103435430572,0.714217047296277,-6.0640310542869,1.32751505871556e-09,2.18432889386826e-08
"BPB1_05986",418.009577734212,-4.82667538950086,0.584896271610455,-7.3973379546219,1.38941624492932e-13,3.17740655673031e-12
"BPB1_02196",45.5830079682608,-4.81832865183474,0.402511187976805,-10.7284686260288,7.48258852521113e-27,4.38951415984396e-25
"BPB1_00865",386.759274167485,-4.6785882211166,0.638862816288376,-6.54066587470701,6.12455253664558e-11,1.1092016792039e-09
