"","baseMean","log2FoldChange","lfcSE","stat","pvalue","padj"
"BPB1_02976",436.268604853595,-5.17504012296889,0.983385112714345,-4.75402775832636,1.99403641973023e-06,0.00014354172314203
"BPB1_02974",2794.88804187605,-5.03426821951834,0.897033449681806,-5.05473705704812,4.30984132941041e-07,3.45273901341637e-05
"BPB1_00867",377.827200604311,-4.65374345445501,0.899359435023894,-4.61855771196157,3.86416512138022e-06,0.000262922029560213
"BPB1_02972",1022.36729263304,-4.63708380734089,0.878649622465334,-4.70845682006096,2.4959922484422e-06,0.000174613992929752
"BPB1_02971",892.240257053912,-3.98154808659864,0.814937607240228,-4.27216520095182,1.93584071946744e-05,0.00108037312961739
"BPB1_02973",11265.4387401118,-3.95288583854027,0.753640023895384,-4.58161155068853,4.61406369857521e-06,0.000309703437713825
"BPB1_00874",327.378770189156,-3.829784942723,0.85811130916495,-3.88036482815184,0.000104299898020722,0.00470961448608116
"BPB1_00884",279.780183781996,-3.70332930890974,0.844467343196141,-3.79331342380367,0.000148650333249658,0.00653403721461106
"BPB1_00871",341.131481021833,-3.6185273366988,0.802081657451902,-3.88804220583464,0.000101056057144775,0.00466084459866171
"BPB1_00866",1681.70795318468,-3.50380045354999,0.755412056291987,-3.97637346204724,6.99742053399874e-05,0.003407469391409
"BPB1_00872",1126.63497439232,-3.4787125802236,0.767121770766613,-3.88297229167002,0.000103187330502667,0.00470212358354816
"BPB1_02200",174.962008387278,3.00721153926163,0.146958676026568,17.0606568257893,2.91261807899739e-65,2.893394799676e-62
"BPB1_04765",204.77856367904,-2.89379758685107,0.582309872418617,-4.11086553780801,3.94178711149377e-05,0.00203946422737391
"BPB1_00032",148.426096857925,2.87095832832152,0.163794877684778,14.4751677331718,1.7390100711331e-47,1.23395186047402e-44
"BPB1_03849",5046.20107274236,2.77335666384842,0.088250218099177,25.7603517907863,2.46805938602983e-146,6.12942548520509e-143
"BPB1_03046",739.698172720866,-2.67523449309639,0.534106471395505,-4.0726608075221,4.64790886126504e-05,0.00238001683648489
