"","baseMean","log2FoldChange","lfcSE","stat","pvalue","padj"
"BPB1_00867",219.112050318837,-3.97151568746327,0.59702439372517,-5.81469655838104,6.07439722465418e-09,6.62352273376291e-06
"BPB1_00873",41.2691597296856,-3.72573151218049,0.645028095804792,-5.00091629056219,5.70584841660349e-07,0.000172823808707346
"BPB1_02975",141.651493960392,-3.31830130635029,0.686829789814568,-4.10334750784642,4.07214890576879e-05,0.0045308889457656
"BPB1_00874",210.162637187992,-3.17069581152585,0.583907784564121,-4.57383148868188,4.78885045320483e-06,0.000932457595388312
"BPB1_00876",13.918913673267,-2.94327500770917,0.622468063440814,-3.92514114572158,8.66788987829254e-05,0.00774710419941819
"BPB1_02182",911.978334256465,-2.92183386070889,0.533721099380095,-4.53763934669585,5.68874402099726e-06,0.00106948387594748
"BPB1_00884",182.33429417409,-2.86134225346559,0.584230345735925,-4.04180007200949,5.30424483032259e-05,0.00525795323907613
"BPB1_00857",120.218327018029,-2.73420227991934,0.555702552465356,-4.02050030183842,5.80746749022065e-05,0.00551308694422938
"BPB1_02183",1617.29984439972,-2.72197393367275,0.512348999817409,-4.33683667668838,1.44547948438533e-05,0.00216281314152348
"BPB1_02971",462.217581312968,-2.68012472139009,0.541902771600929,-4.02309202986617,5.74390388859703e-05,0.00551308694422938
"BPB1_02973",5811.43236843862,-2.58451094593563,0.496578192338883,-4.19774967587197,2.69580374183985e-05,0.00334034590920701
"BPB1_04307",12.0938721406091,-2.33100977671334,0.420523364716433,-4.35412138858925,1.33601664668433e-05,0.00208113221649228
"BPB1_04117",771.341503611067,2.29641920123689,0.184482737506004,9.73760052307564,2.08417348948247e-22,1.13629138646585e-18
"BPB1_04350",343.615759359081,-2.10810915880473,0.218662453820965,-7.35429942682981,1.91931063318676e-13,3.4880271907114e-10
"BPB1_00032",84.0359801266273,2.02009460687811,0.28084183235101,5.41263598144532,6.2103659678513e-08,3.07808320515684e-05
"BPB1_04012",2198.71560489799,-2.00907903630225,0.327228363381389,-4.6116999782913,3.99389168413718e-06,0.000806470276367256
"BPB1_04298",72.4557536681766,-1.94250687526231,0.29125764576914,-4.95268328992018,7.31970553937187e-07,0.000199535173003277
"BPB1_00053",56.2032101338906,-1.86049270990821,0.26523010556126,-5.12948070894609,2.90542542074302e-07,0.000119259491966127
"BPB1_04349",772.836524646179,-1.80506816290168,0.231713123827973,-5.63225829138009,1.77865029150894e-08,1.35132356091474e-05
"BPB1_04020",136.59663047079,-1.77926462242927,0.293316021012264,-4.36138680053817,1.29240656722443e-05,0.00207241194250224
"BPB1_03984",122.803079243389,-1.76115004094601,0.309042040400216,-4.08083650791588,4.48739116499914e-05,0.00466092520980735
"BPB1_04297",158.932059156234,-1.75696231171096,0.251288734524788,-5.0020639169838,5.67197773416683e-07,0.000172823808707346
"BPB1_04348",474.096572928763,-1.7081363324986,0.227385324086668,-5.31316758173067,1.07735875553716e-07,4.89479994599051e-05
"BPB1_03996",602.962665701112,-1.69395161767684,0.287720898985341,-4.14968680373014,3.32930493769701e-05,0.00403363789340535
"BPB1_04351",392.266459716415,-1.69190847207402,0.219096363301033,-5.4401107079827,5.32474718568222e-08,2.90305216563395e-05
"BPB1_04015",534.694444590677,-1.68898101432506,0.196333541487232,-6.0559240429246,1.39613873788661e-09,1.90293709973944e-06
"BPB1_04154",41.2877593874563,-1.67813005026378,0.250976180891676,-4.69419068406446,2.67664275360817e-06,0.00058372225170687
"BPB1_01881",353.206214885336,1.67566123463904,0.229640874900842,5.11956434213502,3.06242275775087e-07,0.000119259491966127
"BPB1_04299",325.877147198723,-1.66456101585595,0.207457592795259,-5.61348948556082,1.98286656040314e-08,1.35132356091474e-05
"BPB1_04305",130.668873457153,-1.65320335085408,0.257987526750991,-4.46999653579047,7.82208641287554e-06,0.00137567790719347
"BPB1_04344",337.856786511646,-1.62252681935655,0.149068392581979,-7.53028056393121,5.0631412492142e-14,1.38021230453579e-10
"BPB1_04354",1301.90805530061,-1.6203945217234,0.277164199675749,-4.04234934754969,5.29183119791075e-05,0.00525795323907613
"BPB1_04021",371.966718990508,-1.57383227977451,0.276199260430037,-3.88788977241492,0.000101119526175537,0.00861411963607858
"BPB1_01882",162.309066408833,1.57336953142841,0.21359728315132,5.02520217295084,5.02902459365717e-07,0.000172823808707346
"BPB1_04016",349.11962618523,-1.56099338196037,0.245098368842046,-4.32884717663758,1.49891897454053e-05,0.00216281314152348
"BPB1_03985",633.156065882131,-1.55353915446414,0.255666395001345,-4.1207572643976,3.776291270925e-05,0.004380497874273
"BPB1_03999",160.97272790507,-1.53423527820412,0.264359356119946,-3.91223255111448,9.14467876813213e-05,0.0079137759752153
"BPB1_04153",289.166178758027,-1.53406193202872,0.215391885729828,-4.80083977409332,1.58001650325603e-06,0.00039155681707963
"BPB1_04345",391.331066219394,-1.50629822933721,0.177035571529186,-5.68415839057131,1.31458402338097e-08,1.19451868257884e-05
"BPB1_03849",3366.50316921255,1.50149157982874,0.253463691945298,3.95122304162159,7.77528175831466e-05,0.00718488748242908
"BPB1_04346",795.81727492933,-1.44928832940316,0.217446333382008,-4.36562123002302,1.26761973510823e-05,0.00207241194250224
"BPB1_04347",1657.98827211929,-1.42166151635182,0.225975564556677,-4.07858928535017,4.53098011958528e-05,0.00466092520980735
"BPB1_03135",346.442347906737,-1.41751153093427,0.222441829138209,-4.1247257068912,3.71176840771587e-05,0.004380497874273
"BPB1_05328",127.259154470444,1.41550256821769,0.183920382645345,4.97771130665308,6.43405246206514e-07,0.000184623442227259
"BPB1_04155",265.5294074664,-1.40542374071426,0.221446938332101,-4.08867129766506,4.33851110031169e-05,0.0046379534350783
"BPB1_01884",270.965878335721,1.40452484020772,0.186038412319665,4.86203267878621,1.16186435441889e-06,0.000301642117156751
"BPB1_01880",359.023406713067,1.38757716263078,0.191970401995872,4.62351046516985,3.77299697077633e-06,0.000791168441718176
"BPB1_01883",140.313411846431,1.38533462294907,0.225092533119052,3.93320298404043,8.38213960363505e-05,0.00761657085316972
"BPB1_04304",208.847500224165,-1.38417888432317,0.220044722239966,-4.01817810180854,5.86498611088232e-05,0.00551308694422938
"BPB1_02114",35.6507185384641,1.37707218695104,0.185202754052906,4.73574052090224,2.18256688672072e-06,0.000517363246365278
"BPB1_03986",705.622301536761,-1.37366466828704,0.185885079238786,-4.70002580015979,2.60128624274715e-06,0.00058372225170687
"BPB1_04343",352.003161862078,-1.34983085038656,0.200253226733861,-4.24378105785027,2.19784795909315e-05,0.00285301596975616
"BPB1_00029",347.885772169245,1.3352869118964,0.195296292992096,4.27702389584119,1.89408478076758e-05,0.00251867078652314
"BPB1_04301",477.961204432459,-1.31565106334169,0.210094347499316,-3.88230846307915,0.000103469509046465,0.00867870405109734
"BPB1_00021",61.1942577971421,1.31402965359786,0.162265890956559,5.01664058169679,5.25828042937684e-07,0.000172823808707346
"BPB1_04302",404.045625951415,-1.30026615863031,0.19569379608705,-4.08937929884261,4.32529070186467e-05,0.0046379534350783
"BPB1_00022",53.6684811119117,1.28218482700587,0.177785903009342,4.39958857123093,1.08456305038157e-05,0.0018478242970876
"BPB1_01885",129.552579187374,1.27172872013102,0.17184975651708,4.49071756499301,7.09836260364302e-06,0.00129000909716872
"BPB1_03987",389.097496013103,-1.21007454238295,0.168826146656233,-4.20595124894262,2.59986277126837e-05,0.00329638414626865
"BPB1_04740",4170.67376397908,1.19456527388206,0.168779102073996,4.1152326641574,3.8678906078905e-05,0.00439327908212895
"BPB1_00542",58.513837094848,1.17780275868228,0.12214331609934,5.54924150029643,2.8691162759103e-08,1.738046881807e-05
"BPB1_04739",3995.82099897792,1.16921216801947,0.170915948753308,3.91544600080227,9.02372403575396e-05,0.0079137759752153
"BPB1_00023",78.6497400921434,1.13013382575621,0.145608317190312,4.32759500223207,1.5074633048036e-05,0.00216281314152348
"BPB1_05783",46.1867396961368,-1.07444393815444,0.133758755197346,-4.29462682503968,1.74987426457817e-05,0.00238507862262005
"BPB1_02084",635.99420678537,1.01909558959445,0.134726337973044,3.85296295738635,0.000116697050426687,0.00963988362009539
"BPB1_00540",245.20604624632,0.942774566522128,0.102551589470999,4.31757877967696,1.57750112297512e-05,0.00220526567242574
